start
[DEBUG] 0 2_5_50_4_5_10_8_0.45
[DEBUG] 4903 -135_0.23407|-120_0.239182|-105_0.240307|-90_0.241933|-75_0.24381|-60_0.244639|-45_0.243404|-30_0.24162|-15_0.240183|0_0.239216|15_0.234327|30_0.23425|45_0.234183|60_0.234125|75_0.234075|90_0.234032|105_0.233998|120_0.233971|135_0.233952|
[DEBUG] 4904 -135_0.23407|-120_0.239182|-105_0.240307|-90_0.241933|-75_0.24381|-60_0.244639|-45_0.243404|-30_0.24162|-15_0.240183|0_0.239216|15_0.234327|30_0.23425|45_0.234183|60_0.234125|75_0.234075|90_0.234032|105_0.233998|120_0.233971|135_0.233952|
[DEBUG] 4905 -135_0.23407|-120_0.239182|-105_0.240307|-90_0.241933|-75_0.24381|-60_0.244639|-45_0.243404|-30_0.24162|-15_0.240183|0_0.239216|15_0.234327|30_0.23425|45_0.234183|60_0.234125|75_0.234075|90_0.234032|105_0.233998|120_0.233971|135_0.233952|
[DEBUG] 4906 -135_0.234033|-120_0.239118|-105_0.240234|-90_0.241893|-75_0.243932|-60_0.245051|-45_0.243774|-30_0.241841|-15_0.240301|0_0.23927|15_0.234293|30_0.234217|45_0.234151|60_0.234092|75_0.234042|90_0.234|105_0.233966|120_0.233939|135_0.23392|
[DEBUG] 4907 -135_0.234033|-120_0.239118|-105_0.240234|-90_0.241893|-75_0.243932|-60_0.245051|-45_0.243774|-30_0.241841|-15_0.240301|0_0.23927|15_0.234293|30_0.234217|45_0.234151|60_0.234092|75_0.234042|90_0.234|105_0.233966|120_0.233939|135_0.23392|
[DEBUG] 4908 -135_0.234033|-120_0.239118|-105_0.240234|-90_0.241893|-75_0.243932|-60_0.245051|-45_0.243774|-30_0.241841|-15_0.240301|0_0.23927|15_0.234293|30_0.234217|45_0.234151|60_0.234092|75_0.234042|90_0.234|105_0.233966|120_0.233939|135_0.23392|
[DEBUG] 4909 -135_0.233823|-120_0.238651|-105_0.23967|-90_0.241322|-75_0.243758|-60_0.246446|-45_0.245258|-30_0.242588|-15_0.24062|0_0.239337|15_0.234114|30_0.23405|45_0.233991|60_0.233938|75_0.233891|90_0.23385|105_0.233816|120_0.233788|135_0.233767|
[DEBUG] 4910 -135_0.233823|-120_0.238651|-105_0.23967|-90_0.241322|-75_0.243758|-60_0.246446|-45_0.245258|-30_0.242588|-15_0.24062|0_0.239337|15_0.234114|30_0.23405|45_0.233991|60_0.233938|75_0.233891|90_0.23385|105_0.233816|120_0.233788|135_0.233767|
[DEBUG] 4911 -135_0.233823|-120_0.238651|-105_0.23967|-90_0.241322|-75_0.243758|-60_0.246446|-45_0.245258|-30_0.242588|-15_0.24062|0_0.239337|15_0.234114|30_0.23405|45_0.233991|60_0.233938|75_0.233891|90_0.23385|105_0.233816|120_0.233788|135_0.233767|
[DEBUG] 4912 -135_0.233921|-120_0.238611|-105_0.239597|-90_0.241214|-75_0.243648|-60_0.246585|-45_0.245655|-30_0.242834|-15_0.24077|0_0.239429|15_0.238638|30_0.234155|45_0.234094|60_0.234038|75_0.23399|90_0.233947|105_0.233912|120_0.233883|135_0.233862|
[DEBUG] 4913 -135_0.233921|-120_0.238611|-105_0.239597|-90_0.241214|-75_0.243648|-60_0.246585|-45_0.245655|-30_0.242834|-15_0.24077|0_0.239429|15_0.238638|30_0.234155|45_0.234094|60_0.234038|75_0.23399|90_0.233947|105_0.233912|120_0.233883|135_0.233862|
[DEBUG] 4914 -135_0.233921|-120_0.238611|-105_0.239597|-90_0.241214|-75_0.243648|-60_0.246585|-45_0.245655|-30_0.242834|-15_0.24077|0_0.239429|15_0.238638|30_0.234155|45_0.234094|60_0.234038|75_0.23399|90_0.233947|105_0.233912|120_0.233883|135_0.233862|
[DEBUG] 4915 -135_0.233458|-120_0.238389|-105_0.239604|-90_0.241513|-75_0.244208|-60_0.245981|-45_0.243558|-30_0.241121|-15_0.239441|0_0.238387|15_0.233663|30_0.233603|45_0.233546|60_0.233496|75_0.233453|90_0.233417|105_0.233389|120_0.233368|135_0.233354|
[DEBUG] 4916 -135_0.233458|-120_0.238389|-105_0.239604|-90_0.241513|-75_0.244208|-60_0.245981|-45_0.243558|-30_0.241121|-15_0.239441|0_0.238387|15_0.233663|30_0.233603|45_0.233546|60_0.233496|75_0.233453|90_0.233417|105_0.233389|120_0.233368|135_0.233354|
[DEBUG] 4917 -135_0.233458|-120_0.238389|-105_0.239604|-90_0.241513|-75_0.244208|-60_0.245981|-45_0.243558|-30_0.241121|-15_0.239441|0_0.238387|15_0.233663|30_0.233603|45_0.233546|60_0.233496|75_0.233453|90_0.233417|105_0.233389|120_0.233368|135_0.233354|
[DEBUG] 4918 -135_0.233469|-120_0.238488|-105_0.239715|-90_0.241637|-75_0.24434|-60_0.246059|-45_0.243594|-30_0.241173|-15_0.239504|0_0.238456|15_0.233671|30_0.23361|45_0.233552|60_0.233501|75_0.233457|90_0.233421|105_0.233393|120_0.233373|135_0.23336|
[DEBUG] 4919 -135_0.233469|-120_0.238488|-105_0.239715|-90_0.241637|-75_0.24434|-60_0.246059|-45_0.243594|-30_0.241173|-15_0.239504|0_0.238456|15_0.233671|30_0.23361|45_0.233552|60_0.233501|75_0.233457|90_0.233421|105_0.233393|120_0.233373|135_0.23336|
[DEBUG] 4920 -135_0.233469|-120_0.238488|-105_0.239715|-90_0.241637|-75_0.24434|-60_0.246059|-45_0.243594|-30_0.241173|-15_0.239504|0_0.238456|15_0.233671|30_0.23361|45_0.233552|60_0.233501|75_0.233457|90_0.233421|105_0.233393|120_0.233373|135_0.23336|
[DEBUG] 4921 -135_0.237862|-120_0.238755|-105_0.240256|-90_0.242581|-75_0.245761|-60_0.245665|-45_0.242601|-30_0.240378|-15_0.238934|0_0.238069|15_0.233666|30_0.233604|45_0.233547|60_0.233497|75_0.233454|90_0.233419|105_0.233392|120_0.233373|135_0.233361|
[DEBUG] 4922 -135_0.237862|-120_0.238755|-105_0.240256|-90_0.242581|-75_0.245761|-60_0.245665|-45_0.242601|-30_0.240378|-15_0.238934|0_0.238069|15_0.233666|30_0.233604|45_0.233547|60_0.233497|75_0.233454|90_0.233419|105_0.233392|120_0.233373|135_0.233361|
[DEBUG] 4923 -135_0.237862|-120_0.238755|-105_0.240256|-90_0.242581|-75_0.245761|-60_0.245665|-45_0.242601|-30_0.240378|-15_0.238934|0_0.238069|15_0.233666|30_0.233604|45_0.233547|60_0.233497|75_0.233454|90_0.233419|105_0.233392|120_0.233373|135_0.233361|
[DEBUG] 4924 -135_0.238353|-120_0.239199|-105_0.240649|-90_0.242938|-75_0.246269|-60_0.247048|-45_0.24367|-30_0.241256|-15_0.2397|0_0.238762|15_0.234317|30_0.234253|45_0.234193|60_0.234139|75_0.234092|90_0.234052|105_0.234019|120_0.233993|135_0.233975|
[DEBUG] 4925 -135_0.238353|-120_0.239199|-105_0.240649|-90_0.242938|-75_0.246269|-60_0.247048|-45_0.24367|-30_0.241256|-15_0.2397|0_0.238762|15_0.234317|30_0.234253|45_0.234193|60_0.234139|75_0.234092|90_0.234052|105_0.234019|120_0.233993|135_0.233975|
[DEBUG] 4926 -135_0.238353|-120_0.239199|-105_0.240649|-90_0.242938|-75_0.246269|-60_0.247048|-45_0.24367|-30_0.241256|-15_0.2397|0_0.238762|15_0.234317|30_0.234253|45_0.234193|60_0.234139|75_0.234092|90_0.234052|105_0.234019|120_0.233993|135_0.233975|
[DEBUG] 4927 -135_0.238044|-120_0.239044|-105_0.240683|-90_0.243143|-75_0.246077|-60_0.244969|-45_0.242184|-30_0.240188|-15_0.238889|0_0.233868|15_0.233792|30_0.23372|45_0.233655|60_0.233596|75_0.233545|90_0.233503|105_0.233468|120_0.233441|135_0.233422|
[DEBUG] 4928 -135_0.238044|-120_0.239044|-105_0.240683|-90_0.243143|-75_0.246077|-60_0.244969|-45_0.242184|-30_0.240188|-15_0.238889|0_0.233868|15_0.233792|30_0.23372|45_0.233655|60_0.233596|75_0.233545|90_0.233503|105_0.233468|120_0.233441|135_0.233422|
