start
[DEBUG] 0 2_5_50_4_5_10_8_0.45
[DEBUG] 4154 -135_0.236465|-120_0.236553|-105_0.236689|-90_0.236819|-75_0.236927|-60_0.237041|-45_0.237199|-30_0.237426|-15_0.228376|0_0.228746|15_0.229058|30_0.229299|45_0.229464|60_0.229549|75_0.229552|90_0.229474|105_0.229316|120_0.229081|135_0.228776|
[DEBUG] 4155 -135_0.236465|-120_0.236553|-105_0.236689|-90_0.236819|-75_0.236927|-60_0.237041|-45_0.237199|-30_0.237426|-15_0.228376|0_0.228746|15_0.229058|30_0.229299|45_0.229464|60_0.229549|75_0.229552|90_0.229474|105_0.229316|120_0.229081|135_0.228776|
[DEBUG] 4156 -135_0.236558|-120_0.236678|-105_0.236842|-90_0.23698|-75_0.237075|-60_0.237159|-45_0.237283|-30_0.237479|-15_0.228433|0_0.228801|15_0.229111|30_0.229351|45_0.229516|60_0.229602|75_0.229607|90_0.229532|105_0.229378|120_0.229147|135_0.228845|
[DEBUG] 4157 -135_0.236558|-120_0.236678|-105_0.236842|-90_0.23698|-75_0.237075|-60_0.237159|-45_0.237283|-30_0.237479|-15_0.228433|0_0.228801|15_0.229111|30_0.229351|45_0.229516|60_0.229602|75_0.229607|90_0.229532|105_0.229378|120_0.229147|135_0.228845|
[DEBUG] 4158 -135_0.236558|-120_0.236678|-105_0.236842|-90_0.23698|-75_0.237075|-60_0.237159|-45_0.237283|-30_0.237479|-15_0.228433|0_0.228801|15_0.229111|30_0.229351|45_0.229516|60_0.229602|75_0.229607|90_0.229532|105_0.229378|120_0.229147|135_0.228845|
[DEBUG] 4159 -135_0.236579|-120_0.236671|-105_0.236805|-90_0.236927|-75_0.237023|-60_0.237124|-45_0.23727|-30_0.23749|-15_0.228433|0_0.2288|15_0.229111|30_0.229352|45_0.229517|60_0.229604|75_0.22961|90_0.229536|105_0.229382|120_0.229152|135_0.228851|
[DEBUG] 4160 -135_0.236579|-120_0.236671|-105_0.236805|-90_0.236927|-75_0.237023|-60_0.237124|-45_0.23727|-30_0.23749|-15_0.228433|0_0.2288|15_0.229111|30_0.229352|45_0.229517|60_0.229604|75_0.22961|90_0.229536|105_0.229382|120_0.229152|135_0.228851|
[DEBUG] 4161 -135_0.236579|-120_0.236671|-105_0.236805|-90_0.236927|-75_0.237023|-60_0.237124|-45_0.23727|-30_0.23749|-15_0.228433|0_0.2288|15_0.229111|30_0.229352|45_0.229517|60_0.229604|75_0.22961|90_0.229536|105_0.229382|120_0.229152|135_0.228851|
[DEBUG] 4162 -135_0.236755|-120_0.23683|-105_0.236946|-90_0.237056|-75_0.237151|-60_0.237261|-45_0.23742|-30_0.237653|-15_0.228476|0_0.228841|15_0.229149|30_0.229389|45_0.229553|60_0.229639|75_0.229645|90_0.229571|105_0.229418|120_0.229189|135_0.22889|
[DEBUG] 4163 -135_0.236755|-120_0.23683|-105_0.236946|-90_0.237056|-75_0.237151|-60_0.237261|-45_0.23742|-30_0.237653|-15_0.228476|0_0.228841|15_0.229149|30_0.229389|45_0.229553|60_0.229639|75_0.229645|90_0.229571|105_0.229418|120_0.229189|135_0.22889|
[DEBUG] 4164 -135_0.236755|-120_0.23683|-105_0.236946|-90_0.237056|-75_0.237151|-60_0.237261|-45_0.23742|-30_0.237653|-15_0.228476|0_0.228841|15_0.229149|30_0.229389|45_0.229553|60_0.229639|75_0.229645|90_0.229571|105_0.229418|120_0.229189|135_0.22889|
[DEBUG] 4165 -135_0.236711|-120_0.236801|-105_0.236925|-90_0.237031|-75_0.237111|-60_0.237199|-45_0.237339|-30_0.237557|-15_0.228503|0_0.228868|15_0.229176|30_0.229416|45_0.229581|60_0.229668|75_0.229676|90_0.229604|105_0.229454|120_0.229228|135_0.228932|
[DEBUG] 4166 -135_0.236711|-120_0.236801|-105_0.236925|-90_0.237031|-75_0.237111|-60_0.237199|-45_0.237339|-30_0.237557|-15_0.228503|0_0.228868|15_0.229176|30_0.229416|45_0.229581|60_0.229668|75_0.229676|90_0.229604|105_0.229454|120_0.229228|135_0.228932|
[DEBUG] 4167 -135_0.236711|-120_0.236801|-105_0.236925|-90_0.237031|-75_0.237111|-60_0.237199|-45_0.237339|-30_0.237557|-15_0.228503|0_0.228868|15_0.229176|30_0.229416|45_0.229581|60_0.229668|75_0.229676|90_0.229604|105_0.229454|120_0.229228|135_0.228932|
[DEBUG] 4168 -135_0.236828|-120_0.236884|-105_0.236984|-90_0.237085|-75_0.23718|-60_0.237297|-45_0.237466|-30_0.237707|-15_0.228505|0_0.22887|15_0.229179|30_0.229419|45_0.229585|60_0.229673|75_0.229682|90_0.229611|105_0.229462|120_0.229237|135_0.228942|
[DEBUG] 4169 -135_0.236828|-120_0.236884|-105_0.236984|-90_0.237085|-75_0.23718|-60_0.237297|-45_0.237466|-30_0.237707|-15_0.228505|0_0.22887|15_0.229179|30_0.229419|45_0.229585|60_0.229673|75_0.229682|90_0.229611|105_0.229462|120_0.229237|135_0.228942|
[DEBUG] 4170 -135_0.236828|-120_0.236884|-105_0.236984|-90_0.237085|-75_0.23718|-60_0.237297|-45_0.237466|-30_0.237707|-15_0.228505|0_0.22887|15_0.229179|30_0.229419|45_0.229585|60_0.229673|75_0.229682|90_0.229611|105_0.229462|120_0.229237|135_0.228942|
[DEBUG] 4171 -135_0.236843|-120_0.236872|-105_0.236942|-90_0.237026|-75_0.237121|-60_0.237253|-45_0.237446|-30_0.237712|-15_0.22854|0_0.228902|15_0.229208|30_0.229447|45_0.229611|60_0.229697|75_0.229705|90_0.229633|105_0.229483|120_0.229258|135_0.228963|
